,index_,tree_name,r_raw_mean,r_glcm_mean,r_mean_homogeneity,r_mean_contrast,r_mean_dissimilarity,r_mean_ASM,r_mean_correlation,r_mean_energy,g_raw_mean,g_glcm_mean,g_mean_homogeneity,g_mean_contrast,g_mean_dissimilarity,g_mean_ASM,g_mean_correlation,g_mean_energy,b_raw_mean,b_glcm_mean,b_mean_homogeneity,b_mean_contrast,b_mean_dissimilarity,b_mean_ASM,b_mean_correlation,b_mean_energy,RE_raw_mean,RE_glcm_mean,RE_mean_homogeneity,RE_mean_contrast,RE_mean_dissimilarity,RE_mean_ASM,RE_mean_correlation,RE_mean_energy,NIR_raw_mean,NIR_glcm_mean,NIR_mean_homogeneity,NIR_mean_contrast,NIR_mean_dissimilarity,NIR_mean_ASM,NIR_mean_correlation,NIR_mean_energy,id_based_on_tree_name
0,0,Falcataria Moluccana,197.900284963788,71.05502319335938,0.2384652839680693,72.01696391284473,5.2939317326054685,0.0007107756724,0.9319756697766652,0.0265865203425492,217.72791444913855,71.05502319335938,0.2512523331976451,67.29967808557664,5.121651957179278,0.0008988364296661,0.923057538092726,0.0298997557522831,128.3172408235488,71.05502319335938,0.2167903915185288,63.573011757437015,5.245219737190147,0.0007063188864789,0.9286223321428014,0.0265038287578841,105.35119129265884,71.05502319335938,0.2335696346851787,55.78306449348891,4.8356224624804485,0.0006578077671241,0.9538225382372336,0.0255724484830643,148.1738261960935,71.05502319335938,0.2362350578985954,56.899104791541774,4.7072599586565165,0.0006930416576484,0.9589145189957554,0.0262476195647555,8
1,1,Ficus Variegata,190.28057222124696,35.3648681640625,0.1015880266751749,369.9118214878398,13.348730089527937,0.000171898300425,0.8695638815340564,0.0130786631357061,210.2398585969152,35.3648681640625,0.1230976203433124,350.6764950042921,12.843935480533847,0.0006361268388832,0.8513831481498385,0.0251395131461555,130.08785028070648,35.3648681640625,0.0932260687750932,324.7286237997159,12.890850327533505,0.0001908867070728,0.8341945420447667,0.0137845903057597,94.77600622338797,35.3648681640625,0.1437267960487453,141.85854850133313,8.393021337192167,0.0003086089884159,0.9098352341442462,0.0175194851252999,141.56413910373576,35.3648681640625,0.1757573657683286,86.41856758870105,6.485420961441322,0.0004133390776497,0.9388736191358564,0.0202743922524054,9
2,2,Bridelia Sp.,173.562047050585,36.852935791015625,0.1524453193683365,150.40890811459954,8.271919840524808,0.0002964786236297,0.9340259220286944,0.0171722290901192,186.69061696912843,36.852935791015625,0.1571778913035001,150.30203091568626,8.2230999873216,0.0003095249894536,0.9359727687309812,0.0175442727524188,114.88011746130316,36.852935791015625,0.1530364879116002,133.96388434772086,7.936081135668733,0.0003419845814925,0.9193118813549618,0.0184436977976774,59.8783766821476,36.852935791015625,0.2611240497926742,35.23227931004434,3.991795564434167,0.0009451208618591,0.9672772238791594,0.0306565156500144,91.708361685682,36.852935791015625,0.2561035898693878,36.24965441850953,4.037898521796517,0.0007570762403719,0.9777707201488824,0.0274365549962183,1
3,3,Falcataria Moluccana,197.30766107736997,36.881683349609375,0.2282393704174478,94.19354788162164,5.901113307739806,0.0005290448377849,0.9410615444105416,0.0229350492136886,218.20382228677053,36.881683349609375,0.2546549869569006,86.63961765881552,5.603269251922514,0.0012015149028839,0.935487803934998,0.0345902040236698,126.92313176656984,36.881683349609375,0.2117679677338187,79.21664407400664,5.694259315510466,0.0005883241070281,0.9367855641190858,0.0241891010780399,112.33774755743332,36.881683349609375,0.2180532328460377,60.24930976680382,5.10965292635929,0.000476553301461,0.9654193223041464,0.0217646949789741,158.82963097438605,36.881683349609375,0.2248004667073876,57.16833924222199,4.859971479127322,0.0004938363535551,0.9713185302256312,0.0221525827994014,8
4,4,Falcataria Moluccana,205.77194175267667,34.72772216796875,0.2674398979635473,54.57410965803576,4.522452525269396,0.0008441105252144,0.9494405386611692,0.0289722225585834,224.05360716350955,34.72772216796875,0.2981174616497642,52.69000597170103,4.328429644632415,0.0017399935322386,0.9465853230414696,0.0416299259057096,118.4774773511837,34.72772216796875,0.2437630467568098,48.32479316614127,4.485638665144248,0.0009001064175026,0.940666826337662,0.0299178335865412,121.98289379150825,34.72772216796875,0.2204251436796328,61.16859592704141,5.037615288702529,0.0005338845744601,0.9627673599182652,0.0230352624527688,162.95993481346488,34.72772216796875,0.2411663086086584,48.897016132295946,4.3876974089461775,0.0006383052394259,0.9675206567864818,0.0251839348761782,8
5,5,Spathodea Campanulatum,193.25526665733483,20.85357666015625,0.1068450672594973,297.6369404621768,11.958679593555662,0.000191980021739,0.8981568703193393,0.013821784188862,211.62784037887272,20.85357666015625,0.1310936441207574,280.07281105443667,11.396546449935537,0.0007118815214316,0.8908422453142761,0.0265885390765118,125.68641517357224,20.85357666015625,0.0978265845778701,274.67542854333203,11.86925706676685,0.0001912874102609,0.8743559543054027,0.0137976557443024,115.01844788167226,20.85357666015625,0.1315260569322568,152.23899135147056,8.728744652753067,0.0002166778635816,0.9424881162476686,0.0146807604870036,160.68117767823816,20.85357666015625,0.1634509721251965,101.38788275264024,6.849951764367312,0.0003046143448947,0.9595963904400764,0.0174021855896252,15
6,6,Terminalia Catappa,200.5036468757921,55.74191284179688,0.1492557745860171,262.5325781970919,10.414577044729594,0.0003087609360679,0.9065709260745112,0.0175229867262835,214.37918549465533,55.74191284179688,0.17104788761077,242.78160504905748,9.916404961232455,0.0009415938505636,0.8952268157986608,0.0305983086404963,116.27771319692692,55.74191284179688,0.1100938531305288,301.83006841398094,11.664005145492675,0.0001531384413518,0.9130112401468282,0.0123385316927242,117.28536311433142,55.74191284179688,0.1484640390422507,170.795973615206,8.685256584167313,0.0002337406751432,0.9319141027099258,0.0152390877712742,144.81038430947532,55.74191284179688,0.1790412090782596,109.14606864935872,6.840745990371037,0.0003500019078152,0.9427596383510768,0.0186475527392821,18
7,7,Spathodea Campanulatum,135.19011544011545,8.7486572265625,0.1063979144536199,298.9162047946367,11.914552146943802,0.0001697063805928,0.8959421130027738,0.0129959432123874,160.4327478077478,8.7486572265625,0.1066026055126075,301.53904778645483,11.924457984856108,0.0001706539285218,0.8985233812299308,0.0130323418678186,86.5808497058497,8.7486572265625,0.1079597722881053,240.66747444859945,11.028490086387604,0.0002484229315741,0.8409144678034803,0.0157264280600913,69.88913863913864,8.7486572265625,0.2093275037593894,64.13893877871391,5.413703795699538,0.0005072773317158,0.9580985404500104,0.0224594340763295,113.32342657342656,8.7486572265625,0.2152329451002404,73.14361197377309,5.406954629152718,0.000396746847715,0.9720991591762326,0.0198587494643961,15
8,8,Shorea Leprosula,139.66728258191674,1.958648681640625,0.1760804122842766,116.17102420539923,7.169067123324174,0.0004836488828239,0.9023122942450654,0.0219396247360964,158.12786400591278,1.958648681640625,0.1805566664607637,110.7059226332596,7.063632325233223,0.000560801012091,0.900818106628904,0.0236201456482423,60.05512441488051,1.958648681640625,0.1831392628909544,90.26567862329983,6.527997365707892,0.0007345517868634,0.8641681938725443,0.027036769835931,46.95269770879527,1.958648681640625,0.3074995410950704,42.2615016103205,3.9650353541211434,0.0027436642559759,0.9277929651540888,0.0522207136008307,66.82723577235772,1.958648681640625,0.3004878208796568,42.81228866595859,3.888102574723068,0.0017527623257783,0.9476551600310243,0.0417212493649238,14
9,9,Syzygium Polyanthum,149.0251480320446,3.473663330078125,0.1410875208428691,233.63932426221663,9.63131377613971,0.0002460441513887,0.9327663447845196,0.0156467506614571,165.07189132706375,3.473663330078125,0.1429359281251542,241.5445860791721,9.672445468481818,0.0002430274018335,0.934244499922676,0.0155512509021627,83.01145942180425,3.473663330078125,0.145245221352309,177.51044945614382,8.865932325842367,0.0003480675748981,0.8900585349775404,0.0186084836954972,68.3120863810519,3.473663330078125,0.2323624688218303,65.35612164115066,5.115754436578596,0.0006156535483286,0.9541077425925456,0.0247369385086531,100.2967607105538,3.473663330078125,0.250384085446543,63.86822989382334,4.597661299696355,0.0005568766790713,0.9694986763008482,0.0235257716212653,17
10,10,Cinnamomum Iners,191.81557606263985,4.329681396484375,0.108868354528225,337.60354372054064,12.49775908241386,0.0001959597050268,0.9152419409245942,0.0139624176212469,207.2738255033557,4.329681396484375,0.1280281631590559,321.93386144825496,12.028508823587645,0.0004980092171383,0.9080906910640794,0.0222287001422343,89.07354586129753,4.329681396484375,0.093672900948154,279.3594960871779,12.23246335971188,0.0001794706711968,0.8761035381997743,0.0133647180398156,104.03187919463087,4.329681396484375,0.1362997816672219,149.5761006192235,8.587549544323872,0.0002307064348403,0.9435429296341648,0.0151483096256772,136.9537192393736,4.329681396484375,0.1680324135472209,94.87164024933828,6.654070943692809,0.0003298384068023,0.958815084935705,0.018111296413241,4
11,11,Clausena Excavata,159.46877828054298,1.329254150390625,0.1336397291250534,192.3138267113577,9.539765533523797,0.0003550072141635,0.9115774638527012,0.0187890840278978,182.83429864253392,1.329254150390625,0.1324033142329245,197.26399078861655,9.628316903684254,0.0003638150947217,0.9191515463173644,0.0190257388040218,82.66162895927602,1.329254150390625,0.1330117593186442,162.0181101748944,8.965535173520642,0.0004485981467331,0.8604026139644927,0.0211252981228832,88.45149321266969,1.329254150390625,0.1830129948973127,57.88393361369501,5.600032539849497,0.0004975477538893,0.9616294297062736,0.0222471469145039,120.09113122171944,1.329254150390625,0.2082529711083408,44.079752467474265,4.842920635755744,0.0005873741791069,0.971826912902268,0.0241744504415285,6
12,12,Cinnamomum Iners,179.74957566261915,7.4339599609375,0.1153142740133296,239.648260488503,10.696415414036904,0.0001802855772429,0.9174617430741216,0.0133782360771241,194.0960960960961,7.4339599609375,0.1206150636323835,238.88763275249204,10.58900999912509,0.0002140440834414,0.9126173687515406,0.0145711748545876,94.68083300691995,7.4339599609375,0.1120711040662556,196.9788564066633,10.12107012495125,0.0002570985948749,0.870956356825703,0.0159779337212851,91.26514558036295,7.4339599609375,0.1517360667513132,121.44223853120886,7.649897128228357,0.0002812611381272,0.9464166913740716,0.0167226369344736,122.73459328894111,7.4339599609375,0.1647706641227386,92.4352656544284,6.674580377284986,0.0003124242803758,0.9580230362254348,0.0176229236318768,4
13,13,Alstonia Angulstiloba,225.9289029535865,7.476531982421875,0.1939487019972258,120.129266392445,7.136580104145414,0.0011678866028252,0.9024132701581836,0.0341049604665475,234.0340311587147,7.476531982421875,0.2084537535896876,112.10280147971294,6.793494767493769,0.0022486586240143,0.8774172561921286,0.0473251647347533,95.37422914638104,7.476531982421875,0.1359178578961861,134.31502364183433,8.282365252456836,0.0004126709590071,0.8691951401535591,0.0202660005185605,127.52293086660175,7.476531982421875,0.1476533029049425,85.25562780343975,6.857299791070695,0.000404883022401,0.9392204245207524,0.0200548829069117,142.06527101590393,7.476531982421875,0.1718004373810956,63.12511852067832,5.840670946514648,0.0005762132102875,0.9368934681711067,0.0239433944996707,0
